              0	    146	     32	   -120	    -42	    -43	     -9	      0	     -1
              1	    141	     74	   -122	    -79	    -41	    -21	      0	      0
              2	    139	     66	   -122	    -76	    -40	    -17	      0	      0
              3	    137	     50	   -118	    -62	    -38	    -12	      1	      0
              4	    135	     51	   -116	    -60	    -37	    -12	      0	      0
              5	    141	     59	   -114	    -61	    -41	    -15	      0	      0
              6	    143	     58	   -110	    -56	    -39	    -13	      0	     -1
              7	    141	     53	   -108	    -51	    -35	     -9	      0	     -1
              8	    141	     53	   -106	    -49	    -35	     -8	      0	      0
              9	    146	     58	   -104	    -47	    -38	    -11	      1	      0
             10	    155	     64	   -102	    -44	    -42	    -14	      1	      1
             11	    157	     65	   -102	    -43	    -41	    -13	      1	      0
             12	    155	     63	   -104	    -44	    -39	    -11	      0	      0
             13	    155	     60	   -104	    -44	    -40	    -11	      0	      0
             14	    156	     60	   -104	    -43	    -42	    -12	      1	      0
             15	    158	     61	   -103	    -42	    -43	    -14	      1	      1
             16	    158	     60	   -105	    -41	    -44	    -14	      1	      0
             17	    157	     58	   -103	    -40	    -43	    -13	      0	      0
             18	    157	     56	   -101	    -37	    -44	    -12	      1	      0
             19	    156	     55	   -101	    -35	    -43	    -13	      1	      0
             20	    159	     56	   -100	    -34	    -46	    -14	      1	      1
             21	    160	     55	    -99	    -33	    -47	    -14	      1	      1
             22	    155	     50	    -99	    -32	    -43	    -11	      2	      1
             23	    149	     43	    -98	    -30	    -40	     -7	      1	      1
             24	    149	     41	    -97	    -28	    -40	     -7	      1	      1
             25	    152	     43	    -96	    -27	    -41	     -7	      2	      1
             26	    155	     44	    -95	    -25	    -39	     -5	      2	      1
             27	    150	     39	    -94	    -23	    -35	      0	      2	      1
             28	    144	     32	    -92	    -21	    -30	      4	      2	      2
             29	    141	     27	    -90	    -18	    -29	      7	      3	      2
             30	    141	     27	    -88	    -15	    -28	      8	      3	      3
             31	    143	     27	    -85	    -12	    -27	      8	      3	      2
             32	    144	     27	    -86	    -11	    -31	      6	      3	      2
             33	    145	     27	    -88	    -13	    -34	      3	      2	      2
             34	    147	     29	    -92	    -17	    -37	     -1	      3	      2
             35	    154	     33	    -96	    -19	    -43	     -5	      2	      1
             36	    155	     33	    -98	    -21	    -44	     -6	      1	      1
             37	    151	     30	   -100	    -23	    -43	     -6	      1	      0
             38	    152	     28	   -102	    -24	    -46	     -7	      1	      0
             39	    155	     31	   -103	    -24	    -50	    -11	      1	      0
             40	    161	     35	   -103	    -24	    -53	    -13	      0	      0
             41	    161	     35	   -105	    -25	    -52	    -13	      1	      0
             42	    159	     31	   -106	    -25	    -50	    -10	      0	      0
             43	    155	     27	   -104	    -23	    -49	     -8	      1	      0
             44	    153	     23	   -105	    -23	    -49	     -8	      1	      0
             45	    149	     19	   -107	    -25	    -50	    -10	      1	      0
             46	    146	     15	   -109	    -26	    -52	    -10	      1	      0
