              0	    371	    281	    898	    543	  -5261	  -1311	  -4394	  -1328
              1	    125	    229	    804	    762	  -5154	  -2827	  -4510	  -2757
              2	     19	     93	    778	    711	  -5120	  -2641	  -4613	  -2774
              3	     43	     87	    799	    656	  -5145	  -2180	  -4714	  -2486
              4	    131	    197	    836	    704	  -5202	  -2272	  -4802	  -2614
              5	    173	    230	    824	    732	  -5228	  -2424	  -4887	  -2832
              6	     37	    127	    779	    682	  -5161	  -2280	  -4975	  -2858
              7	    -71	     15	    736	    623	  -5101	  -2101	  -5041	  -2847
              8	    -97	    -18	    707	    602	  -5087	  -2067	  -5097	  -2909
              9	   -111	    -22	    685	    594	  -5088	  -2056	  -5148	  -2966
             10	   -152	    -51	    671	    576	  -5062	  -1978	  -5183	  -2974
             11	   -193	    -86	    654	    552	  -5034	  -1892	  -5203	  -2968
             12	   -225	   -108	    611	    531	  -5005	  -1839	  -5222	  -2970
             13	   -248	   -140	    593	    508	  -5007	  -1791	  -5214	  -2968
             14	   -258	   -159	    582	    483	  -5005	  -1737	  -5241	  -2956
             15	   -263	    -87	    550	    477	  -4994	  -1715	  -5221	  -2931
             16	    -76	     45	    556	    496	  -5057	  -1722	  -5196	  -2894
             17	    -23	     81	    599	    498	  -5103	  -1697	  -5168	  -2849
             18	   -223	    -31	    506	    445	  -5003	  -1611	  -5135	  -2802
             19	   -271	   -129	    438	    378	  -4995	  -1530	  -5092	  -2749
             20	   -220	    -63	    421	    357	  -5028	  -1522	  -5048	  -2689
             21	    -85	    100	    428	    362	  -5090	  -1565	  -4989	  -2622
             22	     39	    191	    389	    336	  -5169	  -1581	  -4930	  -2549
             23	    -30	    167	    319	    272	  -5156	  -1540	  -4861	  -2469
             24	    -74	    127	    259	    211	  -5121	  -1477	  -4790	  -2388
             25	    -41	    144	    213	    172	  -5144	  -1439	  -4718	  -2308
             26	    -30	    181	    173	    133	  -5144	  -1421	  -4648	  -2226
             27	    -19	    191	    117	     84	  -5176	  -1401	  -4572	  -2138
             28	    -30	    194	     71	     43	  -5186	  -1377	  -4486	  -2052
             29	    -30	    209	     42	     22	  -5191	  -1358	  -4423	  -1975
             30	    -21	    209	     20	     -1	  -5210	  -1330	  -4358	  -1900
             31	    -17	    205	    -12	    -35	  -5233	  -1293	  -4278	  -1817
             32	    -21	    267	    -46	    -48	  -5216	  -1287	  -4191	  -1726
             33	    110	    382	    -37	    -24	  -5298	  -1322	  -4123	  -1640
